Title_1,Title_2,Price,Part_1,Model_2
"HP 11 G5 Chromebook LCD Assembly, Non-Touch",Replacement Laptop LCD LED Screen Display Monitor,89.99, 762229-007,HP G5 11
HP 11 G5 EE Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 912370-003,HP G5 EE
HP 11 G6 EE Chromebook LCD Panel - GRADE A,Replacement Laptop LCD LED Screen Display Monitor,50, L14917-001,HP G6 EE
"HP 11 G8 EE Touch (AMD) Chromebook LCD Touch Panel, Glossy - Pull",Replacement Laptop LCD LED Screen Display Monitor,50, L92828-001,HP G8 EE Touch (AMD)
HP 14 x360 Chromebook LCD Touchscreen Digitizer Module,Replacement Laptop LCD LED Screen Display Monitor,171.99, L77984-001,HP x360 14
HP 11 G8 EE (Intel) Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, L89783-001,HP G8 EE (Intel)
HP 11 G9 EE MK Chromebook LCD Screen - GRADE A,Replacement Laptop LCD LED Screen Display Monitor,50, M44255-001,HP G9 EE MK
"HP 11 G5 EE Chromebook LCD Touch Panel, 40-Pin - NEW",Replacement Laptop LCD LED Screen Display Monitor,54, 912370-003,HP G5 EE
HP 11 x360 G1 EE Chromebook LCD Touchscreen Digitizer Module (Stylus-compatible),Replacement Laptop LCD LED Screen Display Monitor,169.99, 928587-001,HP x360 G1 EE
HP 11A-NB0013DX Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, L99858-001,HP 11A-NB0013DX
HP 11 11A-NA0010NR Chromebook LCD Panel - GRADE A,Replacement Laptop LCD LED Screen Display Monitor,50, M15719-001,HP 11A-NA0010NR
"HP 11 G6 EE Chromebook LCD Touch Panel, 40-Pin - NEW",Replacement Laptop LCD LED Screen Display Monitor,54, L14918-001,HP G6 EE
Lenovo 11 500e Gen 3 Chromebook LCD Touchscreen Digitizer Module (Stylus Compatible),Replacement Laptop LCD LED Screen Display Monitor,279.99," 5D11C95886,5D11M35206",Lenovo 500e Gen 3
Lenovo 11 100e Gen 4 (MediaTek) Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10Z90322,Lenovo 100e Gen 4 (MediaTek)
Lenovo 11 100e Gen 4 (MediaTek) Chromebook LCD Panel - GRADE A,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10Z90322,Lenovo 100e Gen 4 (MediaTek)
Lenovo 11 100e Gen 3 (Intel) Chromebook LCD Panel - GRADE A,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10Z90322,Lenovo 100e Gen 3 (Intel)
Lenovo 15 C340-15 Chromebook Touch LCD Module,Replacement Laptop LCD LED Screen Display Monitor,395.99, 5D10S39584,Lenovo C340
Lenovo 11 100e Gen 3 (Intel) Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10Z90322,Lenovo 100e Gen 3 (Intel)
Lenovo 11 300e Gen 2 (Intel) Chromebook LCD Touchscreen (6-pin Gyro),Replacement Laptop LCD LED Screen Display Monitor,133.99, 5D10Y67266,Lenovo 300e Gen 2
Lenovo 15 C340 Chromebook LCD Assembly,Replacement Laptop LCD LED Screen Display Monitor,249.99, 5D10S39584,Lenovo C340
"Lenovo 14 N42 Chromebook LCD Assembly, Non-Touch Version",Replacement Laptop LCD LED Screen Display Monitor,119.99,,Lenovo N42
Lenovo 14 N42 Non-Touch LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10G95364,Lenovo N42
Lenovo 11 100e Gen 3 (AMD) Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10Z77954,Lenovo 100e Gen 3 (AMD)
Lenovo 11 X131E Chromebook LCD Panel,Replacement Laptop LCD LED Screen Display Monitor,64.99," 04W1594, B116XW03, 00HM194",Lenovo X131E
Lenovo 11 N23 Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10H34773,Lenovo N23
Lenovo 11 100e Gen 2 (Intel) Chromebook LCD Panel - GRADE A,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10M57335,Lenovo 100e Gen 2 (Intel)
Lenovo 11 300e Chromebook LCD Touchscreen Digitizer Module,Replacement Laptop LCD LED Screen Display Monitor,74.99, 5D10Q93993,Lenovo 300e
Lenovo 11 100S Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10H34460,Lenovo 100s
Lenovo 11 100e Gen 3 (AMD) Chromebook LCD Panel - GRADE A,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10Z77954,Lenovo 100e Gen 3 (AMD)
Lenovo 11 N23 Yoga Chromebook LCD Assembly,Replacement Laptop LCD LED Screen Display Monitor,199.99,,Lenovo N23 Yoga
Lenovo 11 300e Gen 2 (MediaTek) Chromebook LCD Touchscreen Digitizer Module,Replacement Laptop LCD LED Screen Display Monitor,115.99, 5D10T95195,Lenovo 300e Gen 2
Lenovo 11e 4th Gen (20J0) Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 01HW907,Lenovo 11e 4th Gen
Lenovo 14e (81MH) Touch LCD Panel - PULL,Replacement Laptop LCD LED Screen Display Monitor,102.99, 5D10S75184,Lenovo 14e (81MH)
"Lenovo 11 N22 Chromebook LCD Assembly, Touch-Version",Replacement Laptop LCD LED Screen Display Monitor,149.99,,Lenovo N22
"Lenovo 11 300e Gen 2 (Intel) Chromebook LCD Touchscreen Digitizer Module (Stylus Compatible, 81MB0067US only)",Replacement Laptop LCD LED Screen Display Monitor,140.99, 5D11E72134,Lenovo 300e Gen 2
Lenovo 11 100E Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10N87520,Lenovo 100e
Lenovo 11 300e Gen 3 (AMD) Chromebook LCD Touchscreen Digitizer Module,Replacement Laptop LCD LED Screen Display Monitor,174.99," 5D11C95886, 5D11C95890, 5D11M35206, 5D11C95891, 5D11C95892, 5D11C95893, 5D11C95894, 5M11K12882",Lenovo 300e Gen 3 (AMD)
Lenovo 11 100e Gen 2 (AMD) Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10M57333,Lenovo 100e Gen 2 (AMD)
Lenovo 14 N42 Touch LCD Panel - PULL,Replacement Laptop LCD LED Screen Display Monitor,104.99, 5D10L60142,Lenovo N42
"Lenovo 11 N23 Chromebook LCD Assembly, Touch-Version",Replacement Laptop LCD LED Screen Display Monitor,119.99,,Lenovo N23
Lenovo 11 N23 Yoga Chromebook LCD Touchscreen Digitizer Module,Replacement Laptop LCD LED Screen Display Monitor,99.99, 5D68C07628,Lenovo N23 Yoga
Lenovo 11 100e Gen 2 Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10N87520,Lenovo 100e Gen 2
Lenovo 14 N42 Touch LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,129.99, 5D10L60142,Lenovo N42
"Lenovo 14 N42 Chromebook LCD Assembly, Non-Touch Version",Replacement Laptop LCD LED Screen Display Monitor,119.99,,Lenovo N42
Lenovo 14 N42 Non-Touch LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10G95364,Lenovo N42
Lenovo 11 100e Gen 3 (AMD) Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10Z77954,Lenovo 100e Gen 3 (AMD)
Lenovo 11 X131E Chromebook LCD Panel,Replacement Laptop LCD LED Screen Display Monitor,64.99," 04W1594, B116XW03, 00HM194",Lenovo X131E
Lenovo 11e 4th Gen (20J0) Chromebook LCD Assembly,Replacement Laptop LCD LED Screen Display Monitor,119.99,,Lenovo 11e 4th Gen
Lenovo 11 300e Gen 2 (MediaTek) Chromebook LCD Touchscreen Digitizer Module,Replacement Laptop LCD LED Screen Display Monitor,115.99, 5D10T95195,Lenovo 300e Gen 2
Lenovo 11e 4th Gen (20J0) Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 01HW907,Lenovo 11e 4th Gen
Lenovo 14e (81MH) Touch LCD Panel - PULL,Replacement Laptop LCD LED Screen Display Monitor,102.99, 5D10S75184,Lenovo 14e (81MH)
"Lenovo 11 N22 Chromebook LCD Assembly, Touch-Version",Replacement Laptop LCD LED Screen Display Monitor,149.99,,Lenovo N22
"Lenovo 11 300e Gen 2 (Intel) Chromebook LCD Touchscreen Digitizer Module (Stylus Compatible, 81MB0067US only)",Replacement Laptop LCD LED Screen Display Monitor,140.99, 5D11E72134,Lenovo 300e Gen 2
Lenovo 11 100E Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10N87520,Lenovo 100e
Lenovo 14e (81MH) Touch LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,98.99, 5D10S75184,Lenovo 14e (81MH)
"Lenovo 11 N23 Chromebook LCD Assembly, Non-Touch Version",Replacement Laptop LCD LED Screen Display Monitor,89.99,,Lenovo N23
Lenovo 11 300e Gen 3 (AMD) Chromebook LCD Touchscreen Digitizer Module (Stylus Compatible),Replacement Laptop LCD LED Screen Display Monitor,174.99," 5D11C95886, 5D11C95890, 5D11M35206, 5D11C95891, 5D11C95892, 5D11C95893, 5D11C95894, 5M11K12882",Lenovo 300e Gen 3
Lenovo 11e 1st Gen (20DB) Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 00HM195,Lenovo 11e 1st Gen
Lenovo 14e (81MH) Non-Touch LCD Panel- NEW,Replacement Laptop LCD LED Screen Display Monitor,129.99, 5D10R41283,Lenovo 14e (81MH)
Lenovo Yoga 11e 3rd Gen (20GE) Chromebook LCD Assembly,Replacement Laptop LCD LED Screen Display Monitor,249.99,,Lenovo Yoga 11e 3rd Gen (20Ge)
Lenovo 10 10e Tablet Chromebook LCD Touchscreen Digitizer Module,Replacement Laptop LCD LED Screen Display Monitor,85.99, 5M10W64511,Lenovo 10e Tablet
Lenovo 11 N23 Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10H34773,Lenovo N23
Lenovo 11 100e Gen 2 (Intel) Chromebook LCD Panel - GRADE A,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10M57335,Lenovo 100e Gen 2 (Intel)
Lenovo 11 300e Chromebook LCD Touchscreen Digitizer Module,Replacement Laptop LCD LED Screen Display Monitor,74.99, 5D10Q93993,Lenovo 300e
Lenovo 11 100S Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10H34460,Lenovo 100s
Lenovo 11 100e Gen 3 (AMD) Chromebook LCD Panel - GRADE A,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10Z77954,Lenovo 100e Gen 3 (AMD)
Lenovo 11 N23 Yoga Chromebook LCD Assembly,Replacement Laptop LCD LED Screen Display Monitor,199.99,,Lenovo N23 Yoga
Lenovo 11 300e Gen 2 (MediaTek) Chromebook LCD Touchscreen Digitizer Module,Replacement Laptop LCD LED Screen Display Monitor,115.99, 5D10T95195,Lenovo 300e Gen 2
Lenovo 11e 4th Gen (20J0) Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 01HW907,Lenovo 11e 4th Gen
Lenovo 14e (81MH) Touch LCD Panel - PULL,Replacement Laptop LCD LED Screen Display Monitor,102.99, 5D10S75184,Lenovo 14e (81MH)
"Lenovo 11 N22 Chromebook LCD Assembly, Touch-Version",Replacement Laptop LCD LED Screen Display Monitor,149.99,,Lenovo N22
"Lenovo 11 300e Gen 2 (Intel) Chromebook LCD Touchscreen Digitizer Module (Stylus Compatible, 81MB0067US only)",Replacement Laptop LCD LED Screen Display Monitor,140.99, 5D11E72134,Lenovo 300e Gen 2
Lenovo 11 N21 Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10H34773,Lenovo N21
Lenovo 11 100e Gen 2 (AMD) Chromebook LCD Panel - GRADE A,Replacement Laptop LCD LED Screen Display Monitor,50, 5D10M57333,Lenovo 100e Gen 2 (AMD)
Samsung 12 XE525QBB Chromebook LCD Touchscreen Digitizer Module,Replacement Laptop LCD LED Screen Display Monitor,149.99, BA96-07271A,Samsung XE525QBB
Samsung 15 XE350XBA Chromebook LCD Panel,Replacement Laptop LCD LED Screen Display Monitor,58.99, NT156FHM-N61,Samsung XE350XBA
Samsung 11 XE500C12 Chromebook LCD Panel - GRADE A,Replacement Laptop LCD LED Screen Display Monitor,50, BA96-06947A,Samsung XE500C12
Samsung 11 XE501C13 Chromebook LCD Panel - GRADE A,Replacement Laptop LCD LED Screen Display Monitor,50, BA59-04056A,Samsung XE501C13
Samsung 11 XE310XBA Chromebook LCD Panel - GRADE A,Replacement Laptop LCD LED Screen Display Monitor,50, BA59-04357A,Samsung XE310XBA
Samsung 11 XE303C12 Chromebook LCD Panel,Replacement Laptop LCD LED Screen Display Monitor,64.99," 04W1594, B116XW03, 00HM194",Samsung XE303C12
Samsung 11 XE503C12 Chromebook LCD Panel,Replacement Laptop LCD LED Screen Display Monitor,64.99," 04W1594, B116XW03, 00HM194",Samsung XE503C12
Samsung 11 XE500C12 Chromebook LCD Assembly,Replacement Laptop LCD LED Screen Display Monitor,99.99,,Samsung XE500C12
Samsung 11 XE303C12 Chromebook LCD Assembly,Replacement Laptop LCD LED Screen Display Monitor,89.99,,Samsung XE303C12
"Samsung 11 XE503C12 Chromebook LCD Assembly, Black",Replacement Laptop LCD LED Screen Display Monitor,119.99,,Samsung XE503C12
Samsung 11 XE500C13 Chromebook LCD Assembly,Replacement Laptop LCD LED Screen Display Monitor,79.99,,Samsung XE500C13
Samsung 11 XE500C13 Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, BA59-04056A,Samsung XE500C13
Samsung 11 XE500C13 Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, BA59-04056A,Samsung XE500C13
Samsung 11 XE500C12 Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, BA96-06947A,Samsung XE500C12
Samsung 11 XE501C13 Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, BA59-04056A,Samsung XE501C13
Samsung 11 XE310XBA Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, BA59-04357A,Samsung XE310XBA
Toshiba 13 CB35-B3340 Chromebook LCD Assembly,Replacement Laptop LCD LED Screen Display Monitor,149.99,,Toshiba CB35-B3340
CTL 11 J41 Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, NB00273,CTL J41
CTL 11 NL7 Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, NB00220,CTL NL7
CTL 11 J2 Chromebook LCD Panel - NEW,Replacement Laptop LCD LED Screen Display Monitor,50, NB00034,CTL J2
CTL 11 J41 Chromebook LCD Panel - GRADE A,Replacement Laptop LCD LED Screen Display Monitor,50, NB00273,CTL J41
CTL 11 NL7 Chromebook LCD Panel - GRADE A,Replacement Laptop LCD LED Screen Display Monitor,50, NB00220,CTL NL7
CTL 11 J2 Chromebook LCD Panel - GRADE A,Replacement Laptop LCD LED Screen Display Monitor,50, NB00034,CTL J2
